date_from,date_to,region_code,region_name,pollutant,value_mean,value_min,value_max,value_stdev,sample_count,no_data_count,data_mask_valid_count,unit,source,aggregation_interval,quality_status
2024-11-01T00:00:00Z,2024-12-01T00:00:00Z,SI032,Podravska,NO2,4.605e-05,3.224e-05,6.678e-05,1.151e-05,298,24,274,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-12-01T00:00:00Z,2025-01-01T00:00:00Z,SI032,Podravska,NO2,5.523e-05,3.866e-05,8.008e-05,1.381e-05,323,22,301,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-01-01T00:00:00Z,2024-02-01T00:00:00Z,SI033,Koroška,NO2,3.178e-05,2.224e-05,4.607e-05,7.94e-06,377,13,364,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-02-01T00:00:00Z,2024-03-01T00:00:00Z,SI033,Koroška,NO2,2.775e-05,1.943e-05,4.024e-05,6.94e-06,336,26,310,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-03-01T00:00:00Z,2024-04-01T00:00:00Z,SI033,Koroška,NO2,2.327e-05,1.629e-05,3.374e-05,5.82e-06,294,12,282,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-04-01T00:00:00Z,2024-05-01T00:00:00Z,SI033,Koroška,NO2,2.131e-05,1.492e-05,3.09e-05,5.33e-06,288,30,258,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-05-01T00:00:00Z,2024-06-01T00:00:00Z,SI033,Koroška,NO2,1.689e-05,1.182e-05,2.449e-05,4.22e-06,334,23,311,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-06-01T00:00:00Z,2024-07-01T00:00:00Z,SI033,Koroška,NO2,1.482e-05,1.037e-05,2.149e-05,3.7e-06,360,11,349,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-07-01T00:00:00Z,2024-08-01T00:00:00Z,SI033,Koroška,NO2,1.283e-05,8.98e-06,1.86e-05,3.21e-06,397,9,388,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-08-01T00:00:00Z,2024-09-01T00:00:00Z,SI033,Koroška,NO2,1.371e-05,9.59e-06,1.987e-05,3.43e-06,347,9,338,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-09-01T00:00:00Z,2024-10-01T00:00:00Z,SI033,Koroška,NO2,1.806e-05,1.265e-05,2.619e-05,4.52e-06,347,28,319,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-10-01T00:00:00Z,2024-11-01T00:00:00Z,SI033,Koroška,NO2,2.341e-05,1.639e-05,3.395e-05,5.85e-06,389,23,366,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-11-01T00:00:00Z,2024-12-01T00:00:00Z,SI033,Koroška,NO2,2.565e-05,1.796e-05,3.719e-05,6.41e-06,315,21,294,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-12-01T00:00:00Z,2025-01-01T00:00:00Z,SI033,Koroška,NO2,3.144e-05,2.201e-05,4.559e-05,7.86e-06,406,7,399,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-01-01T00:00:00Z,2024-02-01T00:00:00Z,SI034,Savinjska,NO2,4.948e-05,3.463e-05,7.174e-05,1.237e-05,319,25,294,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-02-01T00:00:00Z,2024-03-01T00:00:00Z,SI034,Savinjska,NO2,3.981e-05,2.787e-05,5.773e-05,9.95e-06,320,30,290,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-03-01T00:00:00Z,2024-04-01T00:00:00Z,SI034,Savinjska,NO2,3.633e-05,2.543e-05,5.268e-05,9.08e-06,378,17,361,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-04-01T00:00:00Z,2024-05-01T00:00:00Z,SI034,Savinjska,NO2,2.873e-05,2.011e-05,4.166e-05,7.18e-06,399,21,378,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-05-01T00:00:00Z,2024-06-01T00:00:00Z,SI034,Savinjska,NO2,2.651e-05,1.855e-05,3.843e-05,6.63e-06,282,26,256,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-06-01T00:00:00Z,2024-07-01T00:00:00Z,SI034,Savinjska,NO2,2.35e-05,1.645e-05,3.408e-05,5.88e-06,309,26,283,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-07-01T00:00:00Z,2024-08-01T00:00:00Z,SI034,Savinjska,NO2,2.167e-05,1.517e-05,3.143e-05,5.42e-06,367,8,359,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-08-01T00:00:00Z,2024-09-01T00:00:00Z,SI034,Savinjska,NO2,2.088e-05,1.462e-05,3.028e-05,5.22e-06,355,18,337,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-09-01T00:00:00Z,2024-10-01T00:00:00Z,SI034,Savinjska,NO2,2.794e-05,1.956e-05,4.051e-05,6.99e-06,347,21,326,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-10-01T00:00:00Z,2024-11-01T00:00:00Z,SI034,Savinjska,NO2,3.411e-05,2.388e-05,4.947e-05,8.53e-06,325,21,304,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-11-01T00:00:00Z,2024-12-01T00:00:00Z,SI034,Savinjska,NO2,4.432e-05,3.102e-05,6.426e-05,1.108e-05,356,25,331,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-12-01T00:00:00Z,2025-01-01T00:00:00Z,SI034,Savinjska,NO2,4.509e-05,3.156e-05,6.538e-05,1.127e-05,409,24,385,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-01-01T00:00:00Z,2024-02-01T00:00:00Z,SI035,Zasavska,NO2,6.036e-05,4.225e-05,8.752e-05,1.509e-05,321,22,299,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-02-01T00:00:00Z,2024-03-01T00:00:00Z,SI035,Zasavska,NO2,5.575e-05,3.902e-05,8.083e-05,1.394e-05,415,5,410,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-03-01T00:00:00Z,2024-04-01T00:00:00Z,SI035,Zasavska,NO2,4.298e-05,3.008e-05,6.232e-05,1.074e-05,308,16,292,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-04-01T00:00:00Z,2024-05-01T00:00:00Z,SI035,Zasavska,NO2,3.566e-05,2.496e-05,5.17e-05,8.91e-06,358,12,346,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-05-01T00:00:00Z,2024-06-01T00:00:00Z,SI035,Zasavska,NO2,3.505e-05,2.453e-05,5.082e-05,8.76e-06,300,7,293,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-06-01T00:00:00Z,2024-07-01T00:00:00Z,SI035,Zasavska,NO2,2.762e-05,1.934e-05,4.005e-05,6.91e-06,404,7,397,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-07-01T00:00:00Z,2024-08-01T00:00:00Z,SI035,Zasavska,NO2,2.61e-05,1.827e-05,3.785e-05,6.53e-06,312,9,303,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-08-01T00:00:00Z,2024-09-01T00:00:00Z,SI035,Zasavska,NO2,2.642e-05,1.85e-05,3.831e-05,6.61e-06,401,22,379,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-09-01T00:00:00Z,2024-10-01T00:00:00Z,SI035,Zasavska,NO2,3.467e-05,2.427e-05,5.027e-05,8.67e-06,388,11,377,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-10-01T00:00:00Z,2024-11-01T00:00:00Z,SI035,Zasavska,NO2,4.316e-05,3.021e-05,6.259e-05,1.079e-05,418,29,389,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-11-01T00:00:00Z,2024-12-01T00:00:00Z,SI035,Zasavska,NO2,4.899e-05,3.429e-05,7.104e-05,1.225e-05,359,17,342,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-12-01T00:00:00Z,2025-01-01T00:00:00Z,SI035,Zasavska,NO2,5.549e-05,3.884e-05,8.046e-05,1.387e-05,375,19,356,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-01-01T00:00:00Z,2024-02-01T00:00:00Z,SI036,Posavska,NO2,4.088e-05,2.862e-05,5.928e-05,1.022e-05,343,12,331,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-02-01T00:00:00Z,2024-03-01T00:00:00Z,SI036,Posavska,NO2,3.397e-05,2.378e-05,4.925e-05,8.49e-06,296,15,281,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-03-01T00:00:00Z,2024-04-01T00:00:00Z,SI036,Posavska,NO2,3.157e-05,2.21e-05,4.578e-05,7.89e-06,336,5,331,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-04-01T00:00:00Z,2024-05-01T00:00:00Z,SI036,Posavska,NO2,2.45e-05,1.715e-05,3.553e-05,6.13e-06,298,27,271,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-05-01T00:00:00Z,2024-06-01T00:00:00Z,SI036,Posavska,NO2,2.054e-05,1.438e-05,2.979e-05,5.14e-06,288,15,273,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-06-01T00:00:00Z,2024-07-01T00:00:00Z,SI036,Posavska,NO2,1.709e-05,1.196e-05,2.477e-05,4.27e-06,298,21,277,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-07-01T00:00:00Z,2024-08-01T00:00:00Z,SI036,Posavska,NO2,1.629e-05,1.14e-05,2.362e-05,4.07e-06,334,22,312,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-08-01T00:00:00Z,2024-09-01T00:00:00Z,SI036,Posavska,NO2,1.885e-05,1.32e-05,2.733e-05,4.71e-06,313,28,285,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-09-01T00:00:00Z,2024-10-01T00:00:00Z,SI036,Posavska,NO2,2.346e-05,1.642e-05,3.402e-05,5.87e-06,401,12,389,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-10-01T00:00:00Z,2024-11-01T00:00:00Z,SI036,Posavska,NO2,2.631e-05,1.842e-05,3.815e-05,6.58e-06,401,30,371,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-11-01T00:00:00Z,2024-12-01T00:00:00Z,SI036,Posavska,NO2,3.18e-05,2.226e-05,4.611e-05,7.95e-06,390,16,374,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-12-01T00:00:00Z,2025-01-01T00:00:00Z,SI036,Posavska,NO2,3.826e-05,2.678e-05,5.548e-05,9.57e-06,388,18,370,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-01-01T00:00:00Z,2024-02-01T00:00:00Z,SI037,Jugovzhodna Slovenija,NO2,3.071e-05,2.15e-05,4.453e-05,7.68e-06,305,6,299,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-02-01T00:00:00Z,2024-03-01T00:00:00Z,SI037,Jugovzhodna Slovenija,NO2,3.04e-05,2.128e-05,4.408e-05,7.6e-06,383,28,355,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-03-01T00:00:00Z,2024-04-01T00:00:00Z,SI037,Jugovzhodna Slovenija,NO2,2.396e-05,1.677e-05,3.474e-05,5.99e-06,343,11,332,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-04-01T00:00:00Z,2024-05-01T00:00:00Z,SI037,Jugovzhodna Slovenija,NO2,2.244e-05,1.571e-05,3.254e-05,5.61e-06,328,22,306,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-05-01T00:00:00Z,2024-06-01T00:00:00Z,SI037,Jugovzhodna Slovenija,NO2,1.705e-05,1.193e-05,2.472e-05,4.26e-06,351,19,332,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-06-01T00:00:00Z,2024-07-01T00:00:00Z,SI037,Jugovzhodna Slovenija,NO2,1.52e-05,1.064e-05,2.204e-05,3.8e-06,343,7,336,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-07-01T00:00:00Z,2024-08-01T00:00:00Z,SI037,Jugovzhodna Slovenija,NO2,1.252e-05,8.76e-06,1.815e-05,3.13e-06,420,8,412,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-08-01T00:00:00Z,2024-09-01T00:00:00Z,SI037,Jugovzhodna Slovenija,NO2,1.547e-05,1.083e-05,2.243e-05,3.87e-06,292,25,267,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-09-01T00:00:00Z,2024-10-01T00:00:00Z,SI037,Jugovzhodna Slovenija,NO2,2.065e-05,1.446e-05,2.995e-05,5.16e-06,303,29,274,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-10-01T00:00:00Z,2024-11-01T00:00:00Z,SI037,Jugovzhodna Slovenija,NO2,2.299e-05,1.609e-05,3.334e-05,5.75e-06,340,10,330,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-11-01T00:00:00Z,2024-12-01T00:00:00Z,SI037,Jugovzhodna Slovenija,NO2,2.628e-05,1.84e-05,3.811e-05,6.57e-06,382,6,376,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-12-01T00:00:00Z,2025-01-01T00:00:00Z,SI037,Jugovzhodna Slovenija,NO2,3.322e-05,2.326e-05,4.817e-05,8.31e-06,322,17,305,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-01-01T00:00:00Z,2024-02-01T00:00:00Z,SI038,Primorsko-notranjska,NO2,2.892e-05,2.024e-05,4.193e-05,7.23e-06,396,14,382,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-02-01T00:00:00Z,2024-03-01T00:00:00Z,SI038,Primorsko-notranjska,NO2,2.472e-05,1.73e-05,3.584e-05,6.18e-06,388,27,361,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-03-01T00:00:00Z,2024-04-01T00:00:00Z,SI038,Primorsko-notranjska,NO2,2.421e-05,1.695e-05,3.51e-05,6.05e-06,404,9,395,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-04-01T00:00:00Z,2024-05-01T00:00:00Z,SI038,Primorsko-notranjska,NO2,1.636e-05,1.145e-05,2.372e-05,4.09e-06,328,14,314,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-05-01T00:00:00Z,2024-06-01T00:00:00Z,SI038,Primorsko-notranjska,NO2,1.487e-05,1.041e-05,2.156e-05,3.72e-06,418,6,412,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-06-01T00:00:00Z,2024-07-01T00:00:00Z,SI038,Primorsko-notranjska,NO2,1.256e-05,8.79e-06,1.821e-05,3.14e-06,360,6,354,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-07-01T00:00:00Z,2024-08-01T00:00:00Z,SI038,Primorsko-notranjska,NO2,1.202e-05,8.41e-06,1.742e-05,3e-06,415,10,405,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-08-01T00:00:00Z,2024-09-01T00:00:00Z,SI038,Primorsko-notranjska,NO2,1.257e-05,8.8e-06,1.822e-05,3.14e-06,294,21,273,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-09-01T00:00:00Z,2024-10-01T00:00:00Z,SI038,Primorsko-notranjska,NO2,1.602e-05,1.121e-05,2.323e-05,4e-06,297,26,271,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-10-01T00:00:00Z,2024-11-01T00:00:00Z,SI038,Primorsko-notranjska,NO2,1.929e-05,1.351e-05,2.798e-05,4.82e-06,340,17,323,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-11-01T00:00:00Z,2024-12-01T00:00:00Z,SI038,Primorsko-notranjska,NO2,2.455e-05,1.718e-05,3.559e-05,6.14e-06,343,23,320,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-12-01T00:00:00Z,2025-01-01T00:00:00Z,SI038,Primorsko-notranjska,NO2,2.851e-05,1.996e-05,4.134e-05,7.13e-06,290,24,266,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-01-01T00:00:00Z,2024-02-01T00:00:00Z,SI041,Osrednjeslovenska,NO2,7.403e-05,5.182e-05,0.00010735,1.851e-05,413,15,398,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-02-01T00:00:00Z,2024-03-01T00:00:00Z,SI041,Osrednjeslovenska,NO2,6.465e-05,4.525e-05,9.374e-05,1.616e-05,346,11,335,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-03-01T00:00:00Z,2024-04-01T00:00:00Z,SI041,Osrednjeslovenska,NO2,5.169e-05,3.618e-05,7.495e-05,1.292e-05,347,17,330,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-04-01T00:00:00Z,2024-05-01T00:00:00Z,SI041,Osrednjeslovenska,NO2,4.156e-05,2.909e-05,6.026e-05,1.039e-05,313,26,287,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-05-01T00:00:00Z,2024-06-01T00:00:00Z,SI041,Osrednjeslovenska,NO2,3.618e-05,2.532e-05,5.246e-05,9.04e-06,298,5,293,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-06-01T00:00:00Z,2024-07-01T00:00:00Z,SI041,Osrednjeslovenska,NO2,2.983e-05,2.088e-05,4.326e-05,7.46e-06,397,24,373,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-07-01T00:00:00Z,2024-08-01T00:00:00Z,SI041,Osrednjeslovenska,NO2,3.36e-05,2.352e-05,4.871e-05,8.4e-06,298,22,276,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-08-01T00:00:00Z,2024-09-01T00:00:00Z,SI041,Osrednjeslovenska,NO2,3.115e-05,2.18e-05,4.517e-05,7.79e-06,334,21,313,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-09-01T00:00:00Z,2024-10-01T00:00:00Z,SI041,Osrednjeslovenska,NO2,3.892e-05,2.725e-05,5.644e-05,9.73e-06,297,12,285,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-10-01T00:00:00Z,2024-11-01T00:00:00Z,SI041,Osrednjeslovenska,NO2,5.356e-05,3.749e-05,7.766e-05,1.339e-05,374,14,360,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-11-01T00:00:00Z,2024-12-01T00:00:00Z,SI041,Osrednjeslovenska,NO2,6.059e-05,4.241e-05,8.785e-05,1.515e-05,357,24,333,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-12-01T00:00:00Z,2025-01-01T00:00:00Z,SI041,Osrednjeslovenska,NO2,7.253e-05,5.077e-05,0.00010516,1.813e-05,415,5,410,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-01-01T00:00:00Z,2024-02-01T00:00:00Z,SI042,Gorenjska,NO2,2.528e-05,1.77e-05,3.666e-05,6.32e-06,306,9,297,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-02-01T00:00:00Z,2024-03-01T00:00:00Z,SI042,Gorenjska,NO2,2.211e-05,1.547e-05,3.205e-05,5.53e-06,347,8,339,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-03-01T00:00:00Z,2024-04-01T00:00:00Z,SI042,Gorenjska,NO2,2.105e-05,1.474e-05,3.053e-05,5.26e-06,319,13,306,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-04-01T00:00:00Z,2024-05-01T00:00:00Z,SI042,Gorenjska,NO2,1.535e-05,1.074e-05,2.225e-05,3.84e-06,352,24,328,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-05-01T00:00:00Z,2024-06-01T00:00:00Z,SI042,Gorenjska,NO2,1.42e-05,9.94e-06,2.059e-05,3.55e-06,347,21,326,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-06-01T00:00:00Z,2024-07-01T00:00:00Z,SI042,Gorenjska,NO2,1.222e-05,8.55e-06,1.772e-05,3.05e-06,405,13,392,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-07-01T00:00:00Z,2024-08-01T00:00:00Z,SI042,Gorenjska,NO2,1.167e-05,8.17e-06,1.691e-05,2.92e-06,303,25,278,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-08-01T00:00:00Z,2024-09-01T00:00:00Z,SI042,Gorenjska,NO2,1.107e-05,7.75e-06,1.605e-05,2.77e-06,388,13,375,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-09-01T00:00:00Z,2024-10-01T00:00:00Z,SI042,Gorenjska,NO2,1.54e-05,1.078e-05,2.233e-05,3.85e-06,313,25,288,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
2024-10-01T00:00:00Z,2024-11-01T00:00:00Z,SI042,Gorenjska,NO2,1.822e-05,1.276e-05,2.642e-05,4.56e-06,347,10,337,mol/m^2,Sentinel Hub Statistical API / Sentinel-5P,P1M,valid
